judge_model,experiment_type,app,variant,detector_model,method,n_removed,n_omissions,n_additions,omissions_match,omissions_partial,omissions_none,reqs_found_via_omissions,additions_match,additions_partial,additions_none,reqs_found_via_additions
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,7,7,3,0,9,2,7,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,7,7,3,4,5,2,7,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,7,7,3,0,8,2,6,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,7,7,3,0,10,2,6,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,7,7,3,0,7,3,6,0,1,2,1
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,7,7,3,1,6,3,6,1,0,2,1
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,7,5,4,0,1,4,1,1,0,3,1
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,7,5,4,1,5,3,5,0,1,3,1
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,4,0,1,6,0,6,0,0,0,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,4,0,7,0,0,6,0,0,0,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,7,8,0,4,6,0,6,0,0,0,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,7,8,0,5,6,0,6,0,0,0,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,7,7,0,5,5,0,6,0,0,0,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,7,7,0,3,7,0,6,0,0,0,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,7,11,0,7,5,2,6,0,0,0,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,7,11,0,12,0,2,6,0,0,0,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,7,20,7,2,7,13,7,2,5,4,5
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,7,20,7,5,4,11,6,0,5,5,5
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,7,27,10,0,3,24,2,2,0,8,2
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,7,27,10,0,7,23,4,1,1,8,2
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,7,22,1,1,7,17,7,0,0,1,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,7,22,1,0,9,17,7,0,0,1,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,7,20,5,0,10,13,7,2,1,2,2
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,7,20,5,8,2,13,7,0,3,2,2
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,7,7,4,2,8,1,6,0,0,4,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,7,7,4,1,9,1,6,0,0,4,0
